month;day;year;plot_id;species_id;sex;hindfoot_length;weight
8;19;1977;3;DM;M;35;40
8;19;1977;7;DM;M;37;48
8;19;1977;4;DM;F;34;29
8;19;1977;4;DM;F;35;46
8;19;1977;7;DM;M;35;36
8;19;1977;8;DO;F;32;52
8;19;1977;2;PF;M;15;8
8;19;1977;3;OX;F;21;22
8;19;1977;7;DM;F;36;35
8;19;1977;2;NL;M;31;
8;19;1977;3;DS;F;44;
8;19;1977;8;PF;M;12;7
8;19;1977;8;DM;F;32;22
8;19;1977;9;DS;F;47;
8;19;1977;4;SS;;;
8;19;1977;4;DM;F;34;29
8;19;1977;7;DM;F;34;42
8;19;1977;1;DS;M;48;
8;19;1977;4;PF;F;14;8
8;19;1977;4;DM;F;35;41
8;20;1977;6;DM;F;37;37
8;20;1977;19;DM;F;35;43
8;20;1977;23;DM;F;35;41
8;20;1977;19;DM;F;35;43
8;20;1977;5;PF;F;11;9
8;20;1977;18;DM;F;35;45
8;20;1977;12;PP;F;20;15
8;20;1977;18;DM;M;35;29
8;20;1977;11;DS;F;50;
8;20;1977;6;DM;M;35;39
8;20;1977;18;DM;;;42
8;20;1977;12;PP;F;20;15
8;20;1977;23;DM;M;38;46
8;20;1977;12;DM;M;36;41
8;20;1977;18;DM;M;36;41
8;20;1977;5;DM;M;38;40
8;20;1977;11;DM;M;37;45
8;20;1977;5;DS;F;54;
8;20;1977;23;DM;M;38;46
8;20;1977;23;DM;F;35;40
8;20;1977;18;DM;F;35;30
8;20;1977;11;DS;M;43;
8;20;1977;19;DM;M;35;39
8;20;1977;12;NL;;;
8;20;1977;18;NL;;;
8;20;1977;11;PP;M;21;
8;20;1977;6;DM;M;35;34
8;20;1977;10;DS;;;
8;20;1977;11;DM;F;37;42
8;20;1977;23;DM;M;37;42
8;20;1977;5;PF;F;13;8
8;21;1977;15;DM;F;32;
8;21;1977;21;DM;M;34;
8;21;1977;13;DM;F;37;31
8;21;1977;21;OX;F;19;
12;11;1977;11;DS;F;49;127
12;11;1977;21;OT;;;
12;11;1977;8;PF;F;15;6
12;11;1977;11;NL;;;
12;11;1977;8;DS;F;;120
12;11;1977;17;DS;F;47;115
12;11;1977;3;OT;;;
12;11;1977;14;DM;F;36;40
12;11;1977;14;DS;F;47;114
12;11;1977;17;DM;F;35;37
12;11;1977;17;DM;M;37;46
12;11;1977;8;DS;M;49;149
12;11;1977;11;DM;F;37;38
12;11;1977;11;DS;M;52;127
12;11;1977;14;NL;;;
12;11;1977;12;DM;F;38;36
12;11;1977;12;DM;M;37;41
12;11;1977;11;OT;;;
12;11;1977;14;DM;M;37;44
12;11;1977;11;DS;M;48;138
12;11;1977;12;DS;M;49;110
12;11;1977;4;DS;F;49;110
12;11;1977;4;OT;;;
12;11;1977;17;NL;;;
12;11;1977;17;DM;F;36;37
12;11;1977;5;OT;;;
12;11;1977;3;PF;M;16;7
12;11;1977;11;DS;F;51;121
12;11;1977;21;OT;;;
1;12;1983;12;RM;F;16;8
1;12;1983;15;OL;M;21;34
1;12;1983;19;AB;;;
1;12;1983;24;DM;M;37;42
1;12;1983;18;DM;F;36;37
1;12;1983;11;DM;M;36;43
1;12;1983;11;PC;;;
1;12;1983;20;AB;;;
1;12;1983;11;PM;M;21;24
1;12;1983;17;DS;M;50;130
1;12;1983;24;DM;M;37;42
1;12;1983;12;DM;M;35;44
1;12;1983;20;RM;F;16;8
1;12;1983;13;DS;M;49;125
1;12;1983;14;DM;M;35;40
1;12;1983;24;DM;M;37;42
