age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,Management,Married,Tertiary,No,2143.0,Yes,No,Unknown,5,May,261.0,1,-1.0,0,Unknown,No
44,Technician,Single,Secondary,No,29.0,Yes,No,Unknown,5,May,151.0,1,-1.0,0,Unknown,No
33,Entrepreneur,Married,Secondary,No,2.0,Yes,Yes,Unknown,5,May,76.0,1,-1.0,0,Unknown,No
47,Blue-collar,Married,Unknown,No,1506.0,Yes,No,Unknown,5,May,92.0,1,-1.0,0,Unknown,No
33,Unknown,Single,Unknown,No,1.0,No,No,Unknown,5,May,198.0,1,-1.0,0,Unknown,No
35,Management,Married,Tertiary,No,231.0,Yes,No,Unknown,5,May,139.0,1,-1.0,0,Unknown,No
28,Management,Single,Tertiary,No,447.0,Yes,Yes,Unknown,5,May,217.0,1,-1.0,0,Unknown,No
42,Entrepreneur,Divorced,Tertiary,Yes,2.0,Yes,No,Unknown,5,May,380.0,1,-1.0,0,Unknown,No
58,Retired,Married,Primary,No,121.0,Yes,No,Unknown,5,May,50.0,1,-1.0,0,Unknown,No
43,Technician,Single,Secondary,No,593.0,Yes,No,Unknown,5,May,55.0,1,-1.0,0,Unknown,No
41,Administrative,Divorced,Secondary,No,270.0,Yes,No,Unknown,5,May,222.0,1,-1.0,0,Unknown,No
29,Administrative,Single,Secondary,No,390.0,Yes,No,Unknown,5,May,137.0,1,-1.0,0,Unknown,No
58,Technician,Married,Unknown,No,71.0,Yes,No,Unknown,5,May,71.0,1,-1.0,0,Unknown,No
57,Services,Married,Secondary,No,162.0,Yes,No,Unknown,5,May,174.0,1,-1.0,0,Unknown,No
51,Retired,Married,Primary,No,229.0,Yes,No,Unknown,5,May,353.0,1,-1.0,0,Unknown,No
45,Administrative,Single,Unknown,No,13.0,Yes,No,Unknown,5,May,98.0,1,-1.0,0,Unknown,No
57,Blue-collar,Married,Primary,No,52.0,Yes,No,Unknown,5,May,38.0,1,-1.0,0,Unknown,No
60,Retired,Married,Primary,No,60.0,Yes,No,Unknown,5,May,219.0,1,-1.0,0,Unknown,No
33,Services,Married,Secondary,No,0.0,Yes,No,Unknown,5,May,54.0,1,-1.0,0,Unknown,No
28,Blue-collar,Married,Secondary,No,723.0,Yes,Yes,Unknown,5,May,262.0,1,-1.0,0,Unknown,No
56,Management,Married,Tertiary,No,779.0,Yes,No,Unknown,5,May,164.0,1,-1.0,0,Unknown,No
32,Blue-collar,Single,Primary,No,23.0,Yes,Yes,Unknown,5,May,160.0,1,-1.0,0,Unknown,No
25,Services,Married,Secondary,No,50.0,Yes,No,Unknown,5,May,342.0,1,-1.0,0,Unknown,No
40,Retired,Married,Primary,No,0.0,Yes,Yes,Unknown,5,May,181.0,1,-1.0,0,Unknown,No
44,Administrative,Married,Secondary,No,-372.0,Yes,No,Unknown,5,May,172.0,1,-1.0,0,Unknown,No
39,Management,Single,Tertiary,No,255.0,Yes,No,Unknown,5,May,296.0,1,-1.0,0,Unknown,No
52,Entrepreneur,Married,Secondary,No,113.0,Yes,Yes,Unknown,5,May,127.0,1,-1.0,0,Unknown,No
46,Management,Single,Secondary,No,-246.0,Yes,No,Unknown,5,May,255.0,2,-1.0,0,Unknown,No
36,Technician,Single,Secondary,No,265.0,Yes,Yes,Unknown,5,May,348.0,1,-1.0,0,Unknown,No
57,Technician,Married,Secondary,No,839.0,No,Yes,Unknown,5,May,225.0,1,-1.0,0,Unknown,No
49,Management,Married,Tertiary,No,378.0,Yes,No,Unknown,5,May,230.0,1,-1.0,0,Unknown,No
