marca,linea,modelo,condición,combustible,color,transmisión,único_dueño,tipo_de_vendedor,kilometraje,puertas,precio
Chevrolet,Sail,2016,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,50500,5.0,26000000
Renault,Logan,2010,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,154000,4.0,14500000
Chevrolet,Sonic,2016,Usado,Gasolina,Rojo,Mecánica,Sí,Persona Natural,67000,5.0,35000000
Toyota,LC200,2008,Usado,Gasolina,Blanco,Automática,No,Persona Natural,140000,5.0,149900000
Toyota,Land Cruiser,1997,Usado,Gasolina,Verde,Mecánica,No,Persona Natural,241000,3.0,65000000
Renault,Twingo,2006,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,124800,3.0,10800000
Mazda,2,2009,Usado,Gasolina,Gris,Automática,No,Persona Natural,73000,4.0,26000000
Chevrolet,Captiva,2011,Usado,Gasolina,Negro,Automática,No,Persona Natural,110000,5.0,24500000
Renault,Twingo,2002,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,144500,5.0,9000000
Honda,CR-V,2015,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,45000,5.0,63000000
Chery,QQ,2005,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,60000,4.0,8000000
Volkswagen,Voyage,2018,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,11000,5.0,34500000
Mazda,BT-50,2012,Usado,Diesel,Blanco,Mecánica,No,Persona Natural,207574,4.0,42000000
Fiat,Punto,2011,Usado,Gasolina,Negro,Mecánica,No,Persona Natural,66500,5.0,18800000
Mazda,Mazda 3,2008,Usado,Gasolina,Blanco,Automática,No,Persona Natural,121000,5.0,21000000
Renault,R18,1985,Usado,Gasolina y Gas,Verde,Mecánica,No,Persona Natural,68000,5.0,6300000
Chevrolet,Tracker,2015,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,75000,4.0,40500000
Renault,R9,1989,Usado,Gasolina,Blanco,Mecánica,No,Persona Natural,300000,5.0,4600000
Suzuki,Grand Vitara,2009,Usado,Gasolina,Plateado,Mecánica,Sí,Persona Natural,130000,5.0,33000000
Chevrolet,Spark GT,2016,Usado,Gasolina,Gris,Mecánica,Sí,Persona Natural,22500,5.0,27000000
Chevrolet,Luv,1990,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,250000,2.0,25000000
Renault,Clio,2004,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,132000,4.0,13000000
Chevrolet,C-10,1981,Usado,Diesel,Rojo,Mecánica,Sí,Persona Natural,99999,3.0,24500000
Nissan,Qashqai,2015,Usado,Gasolina,Plateado,Automática Secuencial,No,Persona Natural,80000,4.0,65000000
Chevrolet,Grand Vitara,2006,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,179351,3.0,27000000
Renault,Clio,2007,Usado,Gasolina,Beige,Mecánica,No,Persona Natural,210000,4.0,13500000
Zotye,Nomada,2011,Usado,Gasolina,Azul,Mecánica,No,Persona Natural,80000,5.0,18000000
Chevrolet,Aveo Emotion,2012,Usado,Gasolina,Gris,Mecánica,No,Persona Natural,88000,5.0,20500000
